EmployeeID,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager
1,Travel_Rarely,500,HR,10,3,Marketing,4,50,3,2,"Sales Executive",3,60000,20000,2,Yes,12,4,12,8,4,2,6
2,Travel_Frequently,700,HR,5,4,"Human Resources",3,60,4,3,"HR Specialist",4,55000,18000,1,No,10,3,8,6,3,1,4
3,Non-Travel,450,IT,7,3,"Computer Science",2,40,3,2,"Software Engineer",4,75000,22000,2,Yes,15,5,10,7,5,3,7
4,Travel_Rarely,600,Finance,3,5,Finance,4,55,4,3,"Financial Analyst",3,58000,19000,1,No,9,3,7,5,2,1,5
5,Travel_Frequently,800,Sales,12,2,Marketing,3,65,3,2,"Sales Manager",4,90000,30000,3,Yes,18,5,15,10,6,4,8
6,Travel_Rarely,550,IT,4,4,"Computer Science",3,50,3,3,"Data Scientist",3,78000,24000,2,No,12,4,9,6,3,2,6
7,Non-Travel,500,HR,6,3,"Human Resources",4,45,4,2,"HR Manager",4,60000,20000,1,Yes,14,5,11,8,4,2,7
8,Travel_Rarely,480,IT,9,3,"Information Technology",3,42,3,2,"Network Engineer",3,72000,25000,2,No,11,4,9,6,3,2,6
9,Travel_Frequently,750,Finance,5,4,Finance,4,58,4,3,"Investment Analyst",3,85000,29000,2,Yes,16,4,12,9,5,3,7
10,Non-Travel,520,IT,8,3,"Human Resources",3,47,3,2,"Software Engineer",3,65000,23000,1,Yes,10,3,7,5,2,1,5
14,Travel_Rarely,1102,Sales,1,2,"Life Sciences",2,94,3,2,"Sales Executive",3,5993,19479,8,Yes,11,2,8,6,4,0,5
15,Travel_Frequently,279,"Research & Development",8,1,"Life Sciences",3,61,2,2,"Research Scientist",4,5130,24907,1,No,23,4,10,10,7,1,7
16,Travel_Rarely,1373,"Research & Development",2,2,Other,4,92,2,1,Developer,1,2090,2396,6,Yes,15,3,7,0,0,0,0
17,Travel_Frequently,1392,"Research & Development",3,4,"Life Sciences",4,56,3,1,"Research Scientist",1,2909,23159,1,Yes,11,3,8,8,7,3,0
18,Travel_Rarely,591,"Research & Development",2,1,Medical,1,40,3,1,Developer,4,3468,16632,9,No,12,1,6,2,2,2,2
19,Travel_Frequently,1005,"Research & Development",2,2,"Life Sciences",4,79,3,1,Developer,3,3068,11864,0,No,13,3,8,7,7,3,6
20,Travel_Rarely,1324,"Research & Development",3,3,Medical,3,81,4,1,Developer,2,2670,9964,4,Yes,20,4,12,1,0,0,0
21,Travel_Rarely,1358,"Research & Development",24,1,"Life Sciences",4,67,3,1,Developer,1,2693,13335,1,No,22,4,1,1,0,0,0
22,Travel_Frequently,216,"Research & Development",23,3,"Life Sciences",4,44,2,3,Developer,1,9526,8787,0,No,21,4,10,9,7,1,8
23,Travel_Rarely,1299,"Research & Development",27,3,Medical,3,94,3,2,"Healthcare Representative",1,5237,16577,6,No,13,2,17,7,7,7,7
24,Travel_Rarely,809,"Research & Development",16,3,Medical,1,84,4,1,Developer,4,2426,16479,0,No,13,3,6,5,4,0,3
25,Travel_Rarely,153,"Research & Development",15,2,"Life Sciences",4,49,2,2,Developer,1,4193,12682,0,Yes,12,1,10,9,5,0,8
26,Travel_Rarely,670,"Research & Development",26,1,"Life Sciences",1,31,3,1,"Research Scientist",1,2911,15170,1,No,17,3,5,5,2,4,3
27,Travel_Rarely,1346,"Research & Development",19,2,Medical,2,93,3,1,Developer,3,2661,8758,0,No,11,1,3,2,2,1,2
28,Travel_Rarely,103,"Research & Development",24,3,"Life Sciences",3,50,2,1,Developer,1,2028,12947,5,Yes,14,3,6,4,2,0,3
29,Travel_Rarely,1389,"Research & Development",21,4,"Life Sciences",2,51,4,3,Developer,2,9980,10195,1,No,11,3,10,10,9,8,8
30,Travel_Rarely,334,"Research & Development",5,2,"Life Sciences",1,80,4,1,"Research Scientist",4,3298,15053,0,Yes,12,3,7,6,2,0,5
31,Non-Travel,1123,"Research & Development",16,2,Medical,4,96,4,1,Developer,3,2935,7324,1,Yes,13,1,1,1,0,0,0
32,Travel_Rarely,1219,Sales,2,4,"Life Sciences",1,78,2,4,Manager,3,15427,22021,2,No,16,2,31,25,8,3,7
